Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,1.123,0.02174,0.01149,-0.2582,0.4861,0.2726
0.25,1.1513,0.02219,0.01198,-0.2582,0.4795,0.3256
0.5,1.1821,0.02246,0.01211,-0.2586,0.4734,0.3424
1,1.244,0.023,0.0124,-0.2596,0.4623,0.3694
1.25,1.2738,0.02325,0.0126,-0.2599,0.457,0.3821
1.5,1.304,0.02355,0.01281,-0.2603,0.4525,0.398
1.75,1.3349,0.02391,0.01303,-0.2608,0.4488,0.4159
2,1.3632,0.02419,0.01335,-0.2608,0.4443,0.4348
2.25,1.3914,0.0245,0.01368,-0.2608,0.4397,0.4574
2.5,1.4199,0.02483,0.01401,-0.2608,0.4355,0.4861
2.75,1.4488,0.02517,0.01435,-0.261,0.4318,0.5195
3,1.4786,0.02556,0.01472,-0.2613,0.4287,0.5606
3.25,1.5053,0.0259,0.01522,-0.261,0.4251,0.6108
3.5,1.5307,0.02621,0.01569,-0.2604,0.4214,0.6777
3.75,1.5513,0.0264,0.01605,-0.2587,0.4179,0.7765
4,1.5672,0.02649,0.0162,-0.2561,0.4149,1
4.25,1.5962,0.027,0.0166,-0.2563,0.412,1
4.5,1.6249,0.02756,0.01707,-0.2566,0.4093,1
4.75,1.6501,0.02811,0.01767,-0.2561,0.4061,1
5,1.6753,0.02867,0.01826,-0.2556,0.4027,1
5.25,1.7006,0.02921,0.01883,-0.2552,0.3994,1
5.5,1.7264,0.02975,0.01934,-0.2549,0.3964,1
5.75,1.7532,0.0303,0.01985,-0.2547,0.3938,1
6,1.7814,0.0309,0.02038,-0.2549,0.3915,1
6.25,1.8022,0.03157,0.02123,-0.2536,0.3884,1
6.5,1.8235,0.03224,0.02201,-0.2525,0.3851,1
6.75,1.8455,0.03289,0.02273,-0.2515,0.3818,1
7,1.8687,0.0335,0.02341,-0.2507,0.3789,1
7.25,1.8931,0.03408,0.024,-0.2502,0.3761,1
7.5,1.9194,0.03466,0.02454,-0.25,0.3735,1
7.75,1.9355,0.0355,0.02557,-0.248,0.3701,1
8,1.9514,0.03631,0.02659,-0.2459,0.3665,1
8.25,1.9695,0.03704,0.02743,-0.2442,0.3629,1
8.5,1.9897,0.03767,0.02811,-0.243,0.3596,1
8.75,2.013,0.03821,0.02866,-0.2422,0.3566,1
9,2.0287,0.03904,0.02962,-0.2402,0.3533,1
9.25,2.035,0.0401,0.03094,-0.2366,0.3492,1
9.5,2.0453,0.04099,0.03197,-0.2336,0.3454,1
9.75,2.0603,0.04166,0.03274,-0.2315,0.3418,1
10,2.0812,0.04218,0.03326,-0.2303,0.3387,1
10.25,2.0861,0.04336,0.03465,-0.2267,0.3351,1
10.5,2.0845,0.04481,0.03636,-0.2221,0.3308,1
10.75,2.0906,0.0459,0.03762,-0.2187,0.3266,1
11,2.1046,0.04655,0.03831,-0.2166,0.3227,1
11.25,2.1132,0.04756,0.03942,-0.2138,0.3188,1
11.5,2.1022,0.04979,0.04198,-0.2085,0.3141,1
11.75,2.1014,0.05142,0.0438,-0.2048,0.3094,1
12,2.1115,0.05232,0.04476,-0.2025,0.3052,1
12.25,2.1066,0.05444,0.04708,-0.1987,0.3007,1
12.5,2.0908,0.05759,0.05053,-0.1943,0.2955,1
12.75,2.0889,0.05964,0.05272,-0.1914,0.2907,1
13,2.0889,0.06158,0.05476,-0.1889,0.2859,1
13.25,2.0589,0.0669,0.06044,-0.1852,0.2803,1
13.5,2.0482,0.07041,0.06412,-0.1831,0.2749,1
13.75,2.0375,0.07425,0.0681,-0.1815,0.2698,1
14,1.9866,0.0841,0.07829,-0.1808,0.2635,1
14.25,1.9828,0.08762,0.0819,-0.1804,0.258,1
